,CensusTract,State,County,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,Urban,Rural,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,HUNVFlag,GroupQuartersFlag,OHU2010,NUMGQTRS,PCTGQTRS,LowIncomeTracts,POP2010,UATYP10,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lahunvhalf,lahunvhalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lahunv1,lahunv1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lahunv10,lahunv10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lahunv20,lahunv20share,geoid
4736,6037103101,CA,Los Angeles,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,918,10.0,0.0037453000000000005,0,2670,U,2670.000029,1.000000011,884.4011326,0.33123637899999997,516.0000067,1.000000013,324.0000028,1.000000009,15.22167504,0.016581345,356.9412114,0.133685847,107.1667455,0.040137358,50.91516468,0.0986728,50.53140116,0.155961115,3.301131198,0.003596003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06037103101
4737,6037103102,CA,Los Angeles,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1627,0.0,0.0,0,4751,U,2221.841857,0.467657726,340.4704037,0.07166289299999999,424.083474,0.458964799,246.7795988,0.422567806,21.27920717,0.013078799999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06037103102
4738,6037103200,CA,Los Angeles,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,2182,297.0,0.048292699999999994,0,6150,U,4431.330247,0.720541504,1238.9792220000002,0.201460036,820.7371397000001,0.7069226009999999,668.954908,0.739994367,62.03066215,0.028428351,2083.40511,0.33876505799999995,471.42746009999996,0.076654872,366.1812335,0.315401579,347.6480085,0.384566381,20.23475594,0.00927349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06037103200
4739,6037103300,CA,Los Angeles,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1322,9.0,0.0023566,0,3819,U,3748.5226409999996,0.981545598,723.7697065000001,0.18951812199999998,764.4689821000001,0.9800884390000001,571.4625894,0.9835844909999999,14.81932296,0.011209775,3073.982638,0.804918208,580.0513859,0.151885673,625.3019154,0.8016691220000001,484.3907592,0.833719035,12.44120756,0.009410898000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06037103300
4740,6037103400,CA,Los Angeles,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,2342,70.0,0.0113951,0,6143,U,1680.662491,0.273589857,346.8438897,0.056461646,304.3434512,0.266500395,219.0013298,0.263857024,37.22506263,0.015894561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06037103400
4741,6037104103,CA,Los Angeles,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,817,116.0,0.0283966,0,4085,U,1467.501647,0.359241529,403.9579546,0.098888116,415.5330227,0.365143254,114.23811840000002,0.338985515,8.285500009,0.010141371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06037104103
4742,6037104105,CA,Los Angeles,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1391,8.0,0.0014782,1,5412,U,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06037104105
4743,6037104108,CA,Los Angeles,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1291,0.0,0.0,1,5256,U,771.5125017000001,0.146787006,277.5446019,0.05280529,276.1284418,0.167757255,32.3398118,0.073666997,20.05939883,0.015537877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06037104108
4744,6037104124,CA,Los Angeles,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1144,249.0,0.05964069999999999,0,4175,U,3707.129249,0.887935149,909.1562117999999,0.217761967,901.6483699999999,0.871157845,356.46163789999997,0.916353825,6.480836114,0.005665066999999999,889.4108656,0.21303254300000002,223.5461329,0.053543984,129.3053103,0.124932667,122.93556809999998,0.316029738,1.486408481,0.001299308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06037104124
4745,6037104201,CA,Los Angeles,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,848,0.0,0.0,1,4780,U,717.6102977,0.150127677,480.3478272,0.10049117699999999,223.7440799,0.146237961,43.51203736,0.158803056,10.18069232,0.012005533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06037104201
