,geoid,LowIncomeTracts
5044,06037139401,1
5045,06037139402,0
5046,06037139502,0
5047,06037139503,1
5048,06037139504,0
5049,06037139600,0
5050,06037139701,0
5051,06037139702,0
5052,06037139703,0
5053,06037139801,0
5054,06037139802,0
5055,06037141101,0
5056,06037141102,0
5057,06037141201,0
5058,06037141202,0
5059,06037141302,0
5060,06037141303,0
5061,06037141304,0
5062,06037141400,0
5063,06037141500,0
5064,06037141600,0
5065,06037141700,0
5066,06037143100,0
5067,06037143200,0
5068,06037143300,0
5069,06037143400,0
5070,06037143500,0
5071,06037143602,0
5072,06037143603,0
5073,06037143604,0
5074,06037143700,0
5075,06037143800,0
5076,06037143901,0
5077,06037143902,0
5078,06037181000,0
5079,06037181300,0
5080,06037181400,1
5081,06037181500,0
5082,06037181600,0
5083,06037183101,0
5084,06037183103,1
5085,06037183104,0
5086,06037183220,1
5087,06037183221,0
5088,06037183222,0
5089,06037183300,1
5090,06037183401,1
5091,06037183402,1
5092,06037183510,1
5093,06037183520,1
5094,06037183610,1
5095,06037183620,1
5096,06037183701,1
5097,06037183702,0
5098,06037183810,1
5099,06037183820,1
5100,06037185100,0
5101,06037185202,1
5102,06037185203,1
5103,06037185204,0
5104,06037185310,1
5105,06037185320,1
5106,06037186100,0
5107,06037186201,1
5108,06037186202,0
5109,06037186203,0
5110,06037186301,1
5111,06037186302,0
5112,06037186401,1
5113,06037186403,1
5114,06037186404,1
5115,06037187101,0
5116,06037187102,1
5117,06037187200,1
5118,06037187300,0
5119,06037188100,1
5120,06037188201,0
5121,06037188202,0
5122,06037188300,0
5123,06037189101,1
5124,06037189102,0
5125,06037189201,1
5126,06037189202,0
5127,06037189300,0
5128,06037189400,0
5129,06037189500,0
5130,06037189600,0
5131,06037189701,1
5132,06037189702,0
5133,06037189800,0
5134,06037189902,0
5135,06037189903,1
5136,06037189904,1
5137,06037189905,1
5138,06037190100,1
5139,06037190201,1
5140,06037190202,1
5141,06037190301,1
5142,06037190401,1
5143,06037190402,1
5144,06037190510,1
5145,06037190520,1
5146,06037190700,1
5147,06037190801,1
5148,06037190802,1
5149,06037190901,1
5150,06037190902,1
5151,06037191000,1
5152,06037191110,1
5153,06037191120,1
5154,06037191201,1
5155,06037191203,1
5156,06037191204,1
5157,06037191301,1
5158,06037191302,1
5159,06037191410,1
5160,06037191420,1
5161,06037191500,1
5162,06037191610,1
5163,06037191620,1
5164,06037191710,1
5165,06037191720,1
5166,06037191810,1
5167,06037191820,1
5168,06037191901,1
5169,06037191902,0
5170,06037192001,0
5171,06037192002,0
5172,06037192300,0
5173,06037192410,0
5174,06037192420,1
5175,06037192510,1
5176,06037192520,1
5177,06037192610,1
5178,06037192620,1
5179,06037192700,1
5180,06037194101,0
5181,06037194102,0
5182,06037194200,0
5183,06037194300,0
5184,06037194401,0
5185,06037194402,0
5186,06037194500,0
5187,06037195100,0
5188,06037195201,0
5189,06037195202,0
5190,06037195300,0
5191,06037195400,0
5192,06037195500,0
5193,06037195600,1
5194,06037195710,1
5195,06037195720,1
5196,06037195802,1
5197,06037195803,0
5198,06037195804,1
5199,06037195901,1
5200,06037195902,1
5201,06037195903,1
5202,06037197200,1
5203,06037197300,1
5204,06037197410,0
5205,06037197420,1
5206,06037197500,1
5207,06037197600,1
5208,06037197700,1
5209,06037199000,1
5210,06037199110,1
5211,06037199120,1
5212,06037199201,1
5213,06037199202,1
5214,06037199300,1
5215,06037199400,1
5216,06037199700,1
5217,06037199800,1
5218,06037199900,1
5219,06037201110,1
5220,06037201120,1
5221,06037201200,1
5222,06037201301,1
5223,06037201302,0
5224,06037201401,1
5225,06037201402,1
5226,06037201501,1
5227,06037201503,1
5228,06037201504,1
5229,06037201601,1
5230,06037201602,1
5231,06037201700,1
5232,06037203100,1
5233,06037203200,1
5234,06037203300,1
5235,06037203500,1
5236,06037203600,1
5237,06037203710,1
5238,06037203720,1
5239,06037203800,1
5240,06037203900,1
5241,06037204110,1
5242,06037204120,0
5243,06037204200,1
5244,06037204300,1
5245,06037204410,1
5246,06037204420,1
5247,06037204600,1
5248,06037204700,1
5249,06037204810,1
5250,06037204820,1
5251,06037204910,1
5252,06037204920,1
5253,06037205110,1
5254,06037205120,1
5255,06037206010,1
5256,06037206020,0
5257,06037206031,1
5258,06037206032,1
5259,06037206050,1
5260,06037206200,1
5261,06037206300,1
5262,06037207101,1
5263,06037207102,1
5264,06037207103,1
5265,06037207301,1
5266,06037207302,1
5267,06037207400,0
5268,06037207501,1
5269,06037207502,1
5270,06037207710,1
5271,06037207900,1
5272,06037208000,1
5273,06037208301,1
5274,06037208302,1
5275,06037208401,1
5276,06037208402,1
5277,06037208501,1
5278,06037208502,1
5279,06037208610,1
5280,06037208620,1
5281,06037208710,1
5282,06037208720,1
5283,06037208801,1
5284,06037208802,1
5285,06037208902,1
5286,06037208903,1
5287,06037208904,1
5288,06037209102,1
5289,06037209103,1
5290,06037209104,1
5291,06037209200,1
5292,06037209300,1
5293,06037209401,1
5294,06037209402,1
5295,06037209403,1
5296,06037209510,1
5297,06037209520,1
5298,06037209810,1
5299,06037209820,1
5300,06037210010,1
5301,06037211000,0
5302,06037211120,1
5303,06037211121,0
5304,06037211122,1
5305,06037211201,1
5306,06037211202,1
5307,06037211310,1
5308,06037211320,1
5309,06037211410,1
5310,06037211420,1
5311,06037211500,1
5312,06037211701,0
5313,06037211703,1
5314,06037211704,1
5315,06037211802,1
5316,06037211803,1
5317,06037211804,1
5318,06037211910,1
5319,06037211921,1
5320,06037211922,1
5321,06037212101,1
5322,06037212102,1
5323,06037212202,1
5324,06037212203,1
5325,06037212204,1
5326,06037212303,1
5327,06037212304,1
5328,06037212305,1
5329,06037212306,1
5330,06037212410,1
5331,06037212420,1
5332,06037212501,1
5333,06037212502,1
5334,06037212610,1
5335,06037212620,1
5336,06037212701,1
5337,06037212702,0
5338,06037212800,1
5339,06037212900,1
5340,06037213100,1
5341,06037213201,1
5342,06037213202,1
5343,06037213310,1
5344,06037213320,1
5345,06037213401,1
5346,06037213402,1
5347,06037214000,0
5348,06037214100,0
5349,06037214400,0
5350,06037214501,1
5351,06037214502,0
5352,06037214503,0
5353,06037214600,0
5354,06037214700,0
5355,06037214800,0
5356,06037214901,0
5357,06037214902,0
5358,06037215101,0
5359,06037215102,0
5360,06037216100,0
5361,06037216200,0
5362,06037216300,0
5363,06037216401,1
5364,06037216402,1
5365,06037216700,1
5366,06037216800,0
5367,06037216900,0
5368,06037217001,0
5369,06037217002,0
5370,06037217100,1
5371,06037217200,1
5372,06037218110,1
5373,06037218120,1
5374,06037218210,1
5375,06037218220,1
5376,06037218300,1
5377,06037218400,1
5378,06037218500,1
5379,06037218600,1
5380,06037218701,1
5381,06037218702,1
5382,06037218800,1
5383,06037218900,1
5384,06037219010,1
5385,06037219020,1
5386,06037219300,1
5387,06037219500,0
5388,06037219700,1
5389,06037219800,1
5390,06037219901,1
5391,06037219902,1
5392,06037220000,1
5393,06037220100,1
5394,06037221110,1
5395,06037221120,1
5396,06037221210,1
5397,06037221220,1
5398,06037221302,1
5399,06037221303,1
5400,06037221304,1
5401,06037221401,1
5402,06037221402,1
5403,06037221500,1
5404,06037221601,1
5405,06037221602,1
5406,06037221710,1
5407,06037221810,1
5408,06037221820,1
5409,06037221900,1
5410,06037222001,1
5411,06037222002,1
5412,06037222100,1
5413,06037222200,1
5414,06037222500,1
5415,06037222600,1
5416,06037222700,1
5417,06037224010,1
5418,06037224020,1
5419,06037224200,1
5420,06037224310,1
5421,06037224320,1
5422,06037224410,1
5423,06037224420,1
5424,06037224600,1
5425,06037224700,1
5426,06037226001,1
5427,06037226002,1
5428,06037226410,1
5429,06037226420,1
5430,06037226700,1
5431,06037227010,1
5432,06037227020,1
5433,06037228100,1
5434,06037228210,1
5435,06037228220,1
5436,06037228310,1
5437,06037228320,1
5438,06037228410,1
5439,06037228420,1
5440,06037228500,1
5441,06037228600,1
5442,06037228710,1
5443,06037228720,1
5444,06037228800,1
5445,06037228900,1
5446,06037229100,1
5447,06037229200,1
5448,06037229300,1
5449,06037229410,1
5450,06037229420,1
5451,06037231100,1
5452,06037231210,1
5453,06037231220,1
5454,06037231300,1
5455,06037231400,1
5456,06037231500,1
5457,06037231600,1
5458,06037231710,1
5459,06037231720,1
5460,06037231800,1
5461,06037231900,1
5462,06037232110,1
5463,06037232120,1
5464,06037232200,1
5465,06037232300,1
5466,06037232400,1
5467,06037232500,1
5468,06037232600,1
5469,06037232700,1
5470,06037232800,1
5471,06037234000,0
5472,06037234200,0
5473,06037234300,1
5474,06037234501,1
5475,06037234502,1
5476,06037234600,1
5477,06037234700,1
5478,06037234800,1
5479,06037234901,1
5480,06037234902,1
5481,06037235100,0
5482,06037235201,1
5483,06037235202,1
5484,06037236000,0
5485,06037236100,1
5486,06037236202,1
5487,06037236203,1
5488,06037236204,1
5489,06037236400,0
5490,06037237101,1
5491,06037237102,1
5492,06037237201,1
5493,06037237202,1
5494,06037237300,1
5495,06037237401,1
5496,06037237402,1
5497,06037237500,1
5498,06037237600,1
5499,06037237710,1
5500,06037237720,1
5501,06037237800,0
5502,06037237900,0
5503,06037238000,1
5504,06037238100,1
5505,06037238200,1
5506,06037238310,1
5507,06037238320,1
5508,06037238400,0
5509,06037239201,1
5510,06037239202,1
5511,06037239310,1
5512,06037239320,1
